Severity,Role,Route,File,Line,Category,Problem,UserImpact,SuggestedDirection,Confidence,VerificationMethod
P2,Teacher,/teacher/attendance,views/GiangVien/AttendanceTodayView.vue,1-200,Data Source,Inline todayClasses and students arrays,No real data integration,Connect to teacherApi.attendance,High,STATIC_CODE
P2,Staff,/staff/schedule,views/GiaoVu/Schedule/ScheduleManagerView.vue,1-200,Design System,Uses custom buttons instead of GlassButton; nested page header,Inconsistent UI,Refactor to use GlassButton and GlassPanel,Medium,STATIC_CODE
P2,Staff,/staff/schedule,views/GiaoVu/Schedule/ScheduleManagerView.vue,1-200,Hardcoded Colors,"Raw print HTML with #ddd, white; PDF export outside token system",Breaks dark mode; inconsistent,Use token colors; move print styles to CSS classes,Medium,STATIC_CODE
P2,Staff,/staff/conflicts,views/GiaoVu/Schedule/ConflictCheckView.vue,1-200,Design System,Not using TableShell consistently,Inconsistent table styling,Use TableShell wrapper,Medium,STATIC_CODE
P2,Staff,/staff/conflicts,views/GiaoVu/Schedule/ConflictCheckView.vue,1-200,Data Source,Inline mock conflict data,No real conflict resolution workflow,Connect to scheduleApi.conflicts,Medium,STATIC_CODE
P2,BGH,/bgh/schedule/published,views/BGH/Schedule/PublishedSchedulesView.vue,1-200,Design System,"Raw status online, Join Link English",Inconsistent language,Use statusLabels.js,Medium,STATIC_CODE
P2,BGH,/bgh/schedule/published,views/BGH/Schedule/PublishedSchedulesView.vue,1-200,Design System,Raw table instead of TableShell,Inconsistent table styling,Use TableShell,Medium,STATIC_CODE
P2,BGH,/bgh/schedule/changes,views/BGH/Schedule/ScheduleChangesView.vue,1-200,UX,Should show change types: doi_phong/doi_ca/day_thay/huy,Unclear change semantics,Add change type badges,Medium,STATIC_CODE
P2,SuperAdmin,/super-admin/notifications/templates,views/SuperAdmin/NotificationTemplatesView.vue,1-200,Placeholder,Empty placeholder with no real or mock data,Useless route,Implement template list or mark out-of-phase,Medium,STATIC_CODE
P2,ContentCouncil,/content-council/subjects/:subjectId/editor,components/content-council/editor/CurriculumEditor.vue,1-200,UX,EditorJS integration may have save state issues,Potential data loss,Implement autosave and dirty state detection,Medium,STATIC_CODE
P2,ContentCouncil,/content-council/quizzes/:quizId/builder,pages/content-council/QuizBuilderPage.vue,1-200,Placeholder,May have placeholder or incomplete builder state,Useless route,Complete builder implementation,Medium,BUILD
P2,BGH,/bgh/schedule/*,views/BGH/Schedule/ScheduleChangesView.vue,1-200,Duplicate Pattern,Separate BGH schedule views duplicate Staff patterns,Inconsistent UX for BGH vs Staff,Align BGH schedule views with read-only audit pattern,Medium,STATIC_CODE
P3,ALL,ALL,ALL layouts,ALL,Design System,Inter font imported in each layout (6 times via @import),Duplicate network requests; Google Fonts runtime import,Move to index.html link or CSS single import,Medium,STATIC_CODE
P3,ALL,ALL,ALL layouts,ALL,Design System,Scrollbar styles duplicated in every layout (6 times),Code duplication,Consolidate to liquid-glass.css,Low,STATIC_CODE
P3,ALL,ALL,ALL,ALL,Design System,"Mixed role name usage in UI (Student, Teacher vs Sinh vien, Giang vien)",Confusing language mix,Consolidate to Vietnamese for internal UI,Medium,STATIC_CODE
P3,Parent,/parent/dashboard,Layout_PhuHuynh,ALL,UX,"Menu full English labels (Dashboard, Children list, etc.)",Mixed language in parent UI,Translate menu items to Vietnamese,Low,STATIC_CODE
